system:index,NDVI_mean,NDVI_sum,NTL_mean,NTL_sum,Precip_mean,Precip_sum,abbreviati,country_co,country_na,wld_rgn,year,.geo
00000000000000000076,0.5456910555264537,0.7104683546462064,10.979676608701986,13.993705481679003,861.1748390319835,1121.2158688573277,St. Maar.,NN,Sint Maarten,Caribbean,2017,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-63.13919447813012,18.05286029114322],[-63.12714008706418,18.046611795731934]]},{""type"":""Polygon"",""coordinates"":[[[-63.12714008706418,18.046611795731934],[-63.11255647350396,18.039499253473746],[-63.102584829743,18.040332760880837],[-63.112357871843,18.05371282731042],[-63.12714008706418,18.046611795731934]]]},{""type"":""Polygon"",""coordinates"":[[[-63.102584829743,18.040332760880837],[-63.06011198123089,18.013639436391962],[-63.046722374204805,18.023639688204504],[-63.04630660714407,18.007444340308947],[-63.01612156158887,18.05258649115279],[-63.063864668460404,18.06387589357872],[-63.102584829743,18.040332760880837]]]}]}"
00000000000000000077,0.635459230723769,5.499837341989639,2.696143344619898,23.345429431061707,882.789078415876,10060.333575986415,St. Kitts & Nev.,SC,St Kitts & Nevis,Caribbean,2017,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-62.663696331319365,17.214971541150465],[-62.65452958503178,17.222473108373766]]},{""type"":""LineString"",""coordinates"":[[-62.66539002439725,17.26250073153806],[-62.67750167788456,17.27124980948812]]},{""type"":""Polygon"",""coordinates"":[[[-62.65452958503178,17.222473108373766],[-62.631221795976494,17.23080638282407],[-62.63083269266812,17.25038913351475],[-62.66539002439725,17.26250073153806],[-62.667915346891604,17.23002813001002],[-62.65452958503178,17.222473108373766]]]},{""type"":""Polygon"",""coordinates"":[[[-62.60077669502742,17.092083012315147],[-62.549499498955605,17.116666829681424],[-62.54538724820836,17.16250041933394],[-62.578304265927535,17.204584098597284],[-62.617027284194236,17.194972982609137],[-62.63622282797191,17.126638388442167],[-62.60077669502742,17.092083012315147]]]},{""type"":""Polygon"",""coordinates"":[[[-62.67750167788456,17.27124980948812],[-62.742054023944725,17.372472728914452],[-62.81835939352536,17.415388087286093],[-62.865444177507605,17.389999405748352],[-62.85041808208759,17.347499843383808],[-62.76416781641244,17.291221635125282],[-62.70880506568151,17.284166367322854],[-62.67750167788456,17.27124980948812]]]}]}"
00000000000000000078,0.5453453611378247,1.8370653537936914,0.7773413654609806,1.80465132687412,1272.9574887655317,4897.142339133281,Monts.,MH,Montserrat,Caribbean,2017,"{""type"":""Polygon"",""coordinates"":[[[-62.244251261893446,16.723693877655304],[-62.179248781583276,16.674499486957156],[-62.14716718373572,16.697444898481525],[-62.1634445026222,16.76202772654726],[-62.19672392472753,16.822000539510345],[-62.22299960866934,16.77905467050497],[-62.244251261893446,16.723693877655304]]]}"
00000000000000000079,0.6917919720253444,44.77928741274639,3.0282829952639436,198.39410085835067,1896.6683642784296,126451.99553371598,Guad.,GP,Guadeloupe,Caribbean,2017,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-61.18258285430989,16.250333775766077],[-61.17177962823999,16.250360513151843]]},{""type"":""Polygon"",""coordinates"":[[[-61.20341490125841,16.252861054057323],[-61.18258285430989,16.250333775766077],[-61.1950835848364,16.261167553014044],[-61.20341490125841,16.252861054057323]]]},{""type"":""Polygon"",""coordinates"":[[[-61.31741716736134,15.888722428941778],[-61.25583263434372,15.873749702599259],[-61.19202806959813,15.920805894559315],[-61.198749551878905,15.952472660137651],[-61.26011276781967,16.005388249227355],[-61.28677747007276,16.007888813282243],[-61.31536099611118,15.971666300743069],[-61.32830432236126,15.949555381581956],[-61.31741716736134,15.888722428941778]]]},{""type"":""Polygon"",""coordinates"":[[[-61.68747328323193,15.951250051166515],[-61.61536029957873,15.980805420979308],[-61.552970923763894,16.05411149486357],[-61.55922316992049,16.139528260637547],[-61.58047104560445,16.169111254775025],[-61.57966614913801,16.238277442415075],[-61.56510924597201,16.239500061270583],[-61.550888082193005,16.23452761896305],[-61.548831913322786,16.25327684976766],[-61.51841736660061,16.216167466163608],[-61.443416572939384,16.204500189063133],[-61.31594469511467,16.243694343801746],[-61.21591567748162,16.255388284750783],[-61.20341490125841,16.252861054057323],[-61.295917529458556,16.332027468569112],[-61.38130573641476,16.3557491618549],[-61.40047073254134,16.40911103697739],[-61.405498472425684,16.472444561351825],[-61.46300127051702,16.517444650648514],[-61.5379982343037,16.442417150089515],[-61.512611353607475,16.39455604203584],[-61.49299999279183,16.371555343344056],[-61.505111650178804,16.34783365728444],[-61.53133394089478,16.338249189653116],[-61.54552838978431,16.284082414921002],[-61.577167518512276,16.28744505949484],[-61.58672334244581,16.27199936914346],[-61.592971772584065,16.280776964041838],[-61.607112898300436,16.279083257883595],[-61.6221656981358,16.285778088381882],[-61.60800172843756,16.289083516923746],[-61.60047151613652,16.302415810146158],[-61.711303680725344,16.34827803786485],[-61.739250220330014,16.366972006893015],[-61.78552631956991,16.334083547686582],[-61.80364753233321,16.268716389092205],[-61.782970393230386,16.207445100518296],[-61.76088712990568,16.05283357739246],[-61.704555528641876,15.960833550265079],[-61.68747328323193,15.951250051166515]]]}]}"
0000000000000000007a,0.6304712250354395,17.97213856777494,0.7846055801133456,18.618228883395506,2189.7291345350286,66988.53717061866,Dom.,DO,Dominica,Caribbean,2017,"{""type"":""Polygon"",""coordinates"":[[[-61.37163924779369,15.229555143098453],[-61.38247299002914,15.212082827113047],[-61.34910964226441,15.207916282989938],[-61.303276082115985,15.241277667404264],[-61.26616669329906,15.25413891563333],[-61.25374985493825,15.334944742982808],[-61.2516670137936,15.401222217400871],[-61.26533505448595,15.43413924015644],[-61.25208279702536,15.471638668507518],[-61.26997371137749,15.516249668500913],[-61.28038787096945,15.52586077155607],[-61.31119533873978,15.579972258263972],[-61.389945980173074,15.594583513908763],[-61.434139228225,15.637888868840461],[-61.47288891869504,15.626667041725705],[-61.471168560733005,15.595833819079216],[-61.48663710734914,15.58038903237421],[-61.469528211329994,15.579138789861732],[-61.48372269690429,15.523333518852462],[-61.42747112228529,15.386221856314856],[-61.404582950263126,15.331666948991197],[-61.37163924779369,15.229555143098453]]]}"
0000000000000000007c,0.69383672017592,143.22694554251086,6.363119437686762,1158.8612933553363,2096.4068557484215,443525.69984616287,Trin. & Tob.,TD,Trinidad & Tobago,Caribbean,2017,"{""type"":""MultiPolygon"",""coordinates"":[[[[-60.98747251646202,10.32544420719099],[-60.97377775882368,10.329138757597889],[-60.980056739143876,10.337111484322003],[-60.98747251646202,10.32544420719099]]],[[[-60.84280396427348,11.144194619101432],[-60.77347181899524,11.142582875617675],[-60.746055585230025,11.178527858429026],[-60.70611191585425,11.174333570667073],[-60.69610975374338,11.190833096994202],[-60.637000995465975,11.197555562241254],[-60.578556091232876,11.249361022183109],[-60.556167626021015,11.24349976019415],[-60.54683304822377,11.26274967278821],[-60.53541567863943,11.25852779174683],[-60.52541729901282,11.29230591770518],[-60.52672199293816,11.307583834069302],[-60.52361295070001,11.33399962705499],[-60.54172137313093,11.344083810209153],[-60.56022266386987,11.34083370505123],[-60.55772399341665,11.322388675772759],[-60.61522295691772,11.322416297258439],[-60.662944806506715,11.30099962007984],[-60.725223585288894,11.26261141850514],[-60.78374861806583,11.21244427052813],[-60.811973560127164,11.185916907840367],[-60.812751760854155,11.175944334974607],[-60.84424969644895,11.166639318262538],[-60.84280396427348,11.144194619101432]]],[[[-61.93161011715163,10.046999927747775],[-61.88663867013979,10.048666984416236],[-61.81663892506963,10.083694480061242],[-61.771640796683705,10.076971979639879],[-61.67661281237354,10.077027355085304],[-61.629138907491026,10.053694702999584],[-61.54413985830033,10.071110698602821],[-61.31827924533744,10.076944384316997],[-61.22997280207444,10.072750071995653],[-61.1391372304942,10.08194443197281],[-61.059555052478025,10.1206941845251],[-61.00747301895946,10.149416893712132],[-60.99041745382324,10.136610953898314],[-61.00369261820917,10.243194598135059],[-60.98747251646202,10.32544420719099],[-61.04205700749871,10.459028279005373],[-61.043724058546,10.50902751657323],[-61.02411271589403,10.518610990055786],[-61.0286941525286,10.609833718613007],[-61.03124999516024,10.619055751895674],[-61.03369519404822,10.689833669000908],[-60.987083456101146,10.716666197071879],[-60.93172076143988,10.802055374378252],[-60.91297150058498,10.828332891747234],[-60.939193767803005,10.839583400015359],[-61.04166789824768,10.838610647730171],[-61.126640321865,10.818638806463204],[-61.24750141319219,10.79197214530048],[-61.369167366518894,10.810305601332985],[-61.39538954833718,10.78077794722985],[-61.42288974017274,10.774944273558676],[-61.43330387444333,10.757833465889906],[-61.453334838002306,10.771194428806004],[-61.463306434292896,10.76200005827243],[-61.47666552073924,10.77366639994233],[-61.49283214907997,10.753250149600666],[-61.49744417155398,10.762000109679263],[-61.50241849026431,10.752833327831985],[-61.513278978598585,10.762805959090752],[-61.560806299115654,10.746166221490396],[-61.61830519138166,10.743666652788994],[-61.67208484879669,10.699110999019933],[-61.65997311944614,10.67783353339398],[-61.63577651939535,10.677027700152934],[-61.63952632451934,10.666583022427906],[-61.61619568036791,10.670749700558616],[-61.62411114184932,10.67616649893083],[-61.60538865259183,10.686583536047564],[-61.54122158276892,10.66661074228425],[-61.499526964959806,10.63241671549222],[-61.50330738498747,10.619527834612665],[-61.46786115566018,10.534110994099212],[-61.497081747873594,10.421583171609115],[-61.478332487515445,10.363694211930564],[-61.462028509096704,10.294083608245154],[-61.50166698282254,10.24616621120404],[-61.56661221531924,10.228722589118476],[-61.624973314069216,10.247055976577116],[-61.63952632451934,10.230750086611872],[-61.64827726439444,10.202888494169667],[-61.70038986096765,10.170777351830292],[-61.77827835030767,10.146194439879002],[-61.829582196848634,10.127444245449254],[-61.852443734580575,10.097027811567685],[-61.911666892169166,10.086194061440864],[-61.93161011715163,10.046999927747775]]]]}"
0000000000000000007d,0.6588785260090755,8.748873290457764,1.8633861655894133,21.57874253719819,1632.224519609333,26326.82136922818,Gren.,GJ,Grenada,Caribbean,2017,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-61.50299831600798,12.438278228493632],[-61.49091719271109,12.445305855137914]]},{""type"":""Polygon"",""coordinates"":[[[-61.49091719271109,12.445305855137914],[-61.43377685514886,12.455721866239198],[-61.42841722941165,12.502027504658399],[-61.439277638398785,12.52366635457687],[-61.47338864806541,12.476166704328708],[-61.501777637289784,12.476194406591228],[-61.49091719271109,12.445305855137914]]]},{""type"":""Polygon"",""coordinates"":[[[-61.76830676759525,11.987222662898379],[-61.75147243585783,11.995055200167744],[-61.74094388882802,12.010333066870592],[-61.723331466971516,12.00030517966945],[-61.70944599210871,11.99999999508125],[-61.69841767146605,12.012833618160613],[-61.65255739889837,12.030361196528903],[-61.635501890066884,12.048250176767102],[-61.63630678709671,12.059082976237418],[-61.623806039151056,12.084055896177606],[-61.620056138635626,12.122860889480688],[-61.60922238428363,12.120333653836793],[-61.612583156403005,12.226194407952212],[-61.67841716422659,12.224527384607624],[-61.73044587700427,12.169944731894374],[-61.76094432705461,12.076999624567788],[-61.75886150651364,12.047444315259579],[-61.750946002051016,12.041999808724466],[-61.80588914303322,12.001193995799905],[-61.789222752359706,12.000361435687898],[-61.76830676759525,11.987222662898379]],[[-61.709251437753295,12.015333181000532],[-61.72089003282934,12.010360690704267],[-61.70944599210871,11.99999999508125],[-61.709251437753295,12.015333181000532]]]}]}"
0000000000000000007e,0.6638072687041978,29.040917214368747,5.258136123408454,234.01798770416679,1918.6594450686662,87852.0301200853,Mart.,MB,Martinique,Caribbean,2017,"{""type"":""Polygon"",""coordinates"":[[[-61.166693874314355,14.875879042154574],[-61.22275166161872,14.845916783248787],[-61.23355481021495,14.806777917953475],[-61.18275073111896,14.739194900228869],[-61.1826667926921,14.684555990359083],[-61.13199997974817,14.626667020258795],[-61.0911102676182,14.596027406010478],[-61.04544452024332,14.58997249473223],[-61.04597089685734,14.601721772628075],[-61.02914043592007,14.599916459915363],[-61.02872089041047,14.580194484647732],[-61.00258251392446,14.545833572678612],[-61.035026540531334,14.534111018520132],[-61.049972572529995,14.550000234481367],[-61.0610007917696,14.554972678580922],[-61.10763931273989,14.504166608767623],[-61.09280397205829,14.501111052643077],[-61.089389833242436,14.473250365494998],[-61.059192642435484,14.451777431724356],[-61.02325055829488,14.474082979215606],[-60.99425125871455,14.464249633343886],[-60.98497387981292,14.469277373661237],[-60.91836164892333,14.464860874163836],[-60.89858243398056,14.449083354184818],[-60.872528056763294,14.465639145351004],[-60.90030668202395,14.416138676851427],[-60.88422392840916,14.394027694662759],[-60.86402891683713,14.392639129750153],[-60.84700013039768,14.419055902195861],[-60.81586078973692,14.455888730285517],[-60.83913801518778,14.519110701787866],[-60.834362034858835,14.538222333911705],[-60.83444596120511,14.566694297620414],[-60.84705735770136,14.560083421660604],[-60.85483168907974,14.567500140651545],[-60.856834406666835,14.590527551073473],[-60.874862633029885,14.591278101385102],[-60.875888835694205,14.613499611816025],[-60.88700100416598,14.615833240679938],[-60.89719387248754,14.616666785623195],[-60.89605711648372,14.636805571679368],[-60.910251644787685,14.643750165081737],[-60.88761141387063,14.661389385213953],[-60.89772036167839,14.660805677240694],[-60.91744611623074,14.662638627526425],[-60.93535992014314,14.649999630006572],[-60.942054767777925,14.678360976493572],[-60.90761181038398,14.690999986403613],[-60.919498482957636,14.713388460407755],[-60.93591690293774,14.704166449853362],[-60.930305443071596,14.717556006534965],[-60.94941712188442,14.727694486634578],[-60.942779570050355,14.745833381751266],[-60.90050123473869,14.732610677010559],[-60.89908221272078,14.757833501950946],[-60.880390135239445,14.762361484291059],[-60.886276201301136,14.775055868533943],[-60.95766834097727,14.747056016976229],[-60.96858215889526,14.739417098785815],[-61.01758189872482,14.804222094626223],[-61.02930450579507,14.820111267786547],[-61.035778076335596,14.828416850066352],[-61.166693874314355,14.875879042154574]]]}"
0000000000000000007f,0.6850211713844606,16.28738573374111,1.8222396512085044,43.02629388206433,1893.8366213114627,47650.41475425233,St. Luc.,ST,Saint Lucia,Caribbean,2017,"{""type"":""Polygon"",""coordinates"":[[[-61.05041500821715,13.76666644283238],[-60.957473715295194,13.722222353337393],[-60.96086123193302,13.710139312033501],[-60.946167027540994,13.70561120235782],[-60.922862964914984,13.76544473531507],[-60.91466519947354,13.758417149237367],[-60.899917577342165,13.792388920455407],[-60.89483259270255,13.813916237888831],[-60.88088985403087,13.869805327137206],[-60.894306202280625,13.872444121119308],[-60.88158419166787,13.888972284365517],[-60.88994595635605,13.920666661276847],[-60.87502671494987,13.985610950236033],[-60.88844298789383,14.026721969702534],[-60.892723048162075,14.059583652925825],[-60.91347123788002,14.06136130561051],[-60.92477798858549,14.084805519533854],[-60.92011257392902,14.095000295057336],[-60.94713973134977,14.108416521125562],[-60.97019575871337,14.066778178321517],[-60.9850273404076,14.0248890176535],[-61.00580600391292,14.014166833616443],[-61.01711273227633,13.990777979200146],[-61.01294323582232,13.982500056509023],[-61.031276733484304,13.969166779786924],[-61.080417667184484,13.881638539043465],[-61.07083514373573,13.854583771752417],[-61.07336040417448,13.812083267217767],[-61.05041500821715,13.76666644283238]]]}"
00000000000000000080,0.6040607619194144,8.049405760792823,1.3761975340870376,17.32389837027212,1903.60352179413,27247.658253131664,St. Vin. & Gren.,VC,St Vincent & the Grenadines,Caribbean,2017,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-61.21374893248367,13.03830528708663],[-61.20836256995991,13.046250337650017]]},{""type"":""LineString"",""coordinates"":[[-61.2675819482551,12.986166944745365],[-61.282611843184405,12.98613930934802]]},{""type"":""Polygon"",""coordinates"":[[[-61.244667091526935,12.98244475449144],[-61.22925182062872,12.99199958706885],[-61.20708461861285,13.030805553436739],[-61.21374893248367,13.03830528708663],[-61.25086213739859,13.01624966231104],[-61.245082856484316,12.99783321784104],[-61.2675819482551,12.986166944745365],[-61.244667091526935,12.98244475449144]]]},{""type"":""Polygon"",""coordinates"":[[[-61.224166886413826,13.136249571146232],[-61.17750164215665,13.120416622584967],[-61.14710999785305,13.168305424725542],[-61.1204185062106,13.259139019191268],[-61.13541789402839,13.355833044681747],[-61.164138834179525,13.3787774783545],[-61.197917910131515,13.371666917645392],[-61.252498670299,13.287111314993135],[-61.26499939319259,13.285416581679124],[-61.28047177206453,13.211638458128528],[-61.26211164986795,13.171638479581642],[-61.2425003100905,13.152889228909343],[-61.224166886413826,13.136249571146232]]]}]}"
